%time,field.header.seq,field.header.stamp,field.header.frame_id,field.frame_number,field.markers0.marker_name,field.markers0.subject_name,field.markers0.segment_name,field.markers0.translation.x,field.markers0.translation.y,field.markers0.translation.z,field.markers0.occluded,field.markers1.marker_name,field.markers1.subject_name,field.markers1.segment_name,field.markers1.translation.x,field.markers1.translation.y,field.markers1.translation.z,field.markers1.occluded,field.markers2.marker_name,field.markers2.subject_name,field.markers2.segment_name,field.markers2.translation.x,field.markers2.translation.y,field.markers2.translation.z,field.markers2.occluded,field.markers3.marker_name,field.markers3.subject_name,field.markers3.segment_name,field.markers3.translation.x,field.markers3.translation.y,field.markers3.translation.z,field.markers3.occluded,field.markers4.marker_name,field.markers4.subject_name,field.markers4.segment_name,field.markers4.translation.x,field.markers4.translation.y,field.markers4.translation.z,field.markers4.occluded
1436373376981403857,32151,1436373376981403857,,217142,SquareBlock1,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock2,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock3,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock4,SquareBlock,SquareBlock,0.0,0.0,0.0,1,,,,99.4623947144,15.004776001,287.32925415,0
1436373376990987196,32152,1436373376990987196,,217143,SquareBlock1,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock2,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock3,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock4,SquareBlock,SquareBlock,0.0,0.0,0.0,1,,,,99.4653549194,15.0032405853,287.32699585,0
1436373377000728666,32153,1436373377000728666,,217144,SquareBlock1,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock2,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock3,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock4,SquareBlock,SquareBlock,0.0,0.0,0.0,1,,,,99.4727249146,15.0012464523,287.328491211,0
1436373377011293902,32154,1436373377011293902,,217145,SquareBlock1,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock2,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock3,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock4,SquareBlock,SquareBlock,0.0,0.0,0.0,1,,,,99.4657211304,15.0107336044,287.328491211,0
1436373377020651287,32155,1436373377020651287,,217146,SquareBlock1,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock2,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock3,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock4,SquareBlock,SquareBlock,0.0,0.0,0.0,1,,,,99.4749755859,15.0150194168,287.326141357,0
1436373377031311180,32156,1436373377031311180,,217147,SquareBlock1,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock2,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock3,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock4,SquareBlock,SquareBlock,0.0,0.0,0.0,1,,,,99.459022522,15.0121212006,287.321136475,0
1436373377040935357,32157,1436373377040935357,,217148,SquareBlock1,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock2,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock3,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock4,SquareBlock,SquareBlock,0.0,0.0,0.0,1,,,,99.4679946899,15.0009422302,287.339477539,0
1436373377050725715,32158,1436373377050725715,,217149,SquareBlock1,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock2,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock3,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock4,SquareBlock,SquareBlock,0.0,0.0,0.0,1,,,,99.4578781128,15.0222835541,287.331237793,0
1436373377060929299,32159,1436373377060929299,,217150,SquareBlock1,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock2,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock3,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock4,SquareBlock,SquareBlock,0.0,0.0,0.0,1,,,,99.4797515869,15.0115003586,287.327178955,0
1436373377070628902,32160,1436373377070628902,,217151,SquareBlock1,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock2,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock3,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock4,SquareBlock,SquareBlock,0.0,0.0,0.0,1,,,,99.4647674561,15.0120649338,287.320587158,0
1436373377081129925,32161,1436373377081129925,,217152,SquareBlock1,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock2,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock3,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock4,SquareBlock,SquareBlock,0.0,0.0,0.0,1,,,,99.4735870361,15.0072050095,287.332702637,0
1436373377090782682,32162,1436373377090782682,,217153,SquareBlock1,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock2,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock3,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock4,SquareBlock,SquareBlock,0.0,0.0,0.0,1,,,,99.4723205566,15.0208072662,287.319915771,0
1436373377101047463,32163,1436373377101047463,,217154,SquareBlock1,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock2,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock3,SquareBlock,SquareBlock,0.0,0.0,0.0,1,SquareBlock4,SquareBlock,SquareBlock,0.0,0.0,0.0,1,,,,99.4687347412,15.0074148178,287.330413818,0
